Опыт работы,Знание языков программирования,Оценка технических навыков,Оценка коммуникационных навыков,Возраст,Результат
2,3,7,6,25,1
1,2,5,7,22,0
3,4,8,8,30,1
0,1,4,5,28,0
5,5,9,9,35,1
4,3,6,7,27,1
2,2,5,6,24,0
1,4,7,5,29,0
3,3,8,9,26,1
0,0,3,4,23,0
5,5,10,10,33,1
4,4,7,8,32,1
2,1,6,6,21,0
3,2,5,4,22,0
1,3,4,3,20,0
4,5,8,9,31,1
2,3,7,7,25,1
0,2,4,2,19,0
5,4,9,8,34,1
3,2,5,5,26,0
1,1,3,2,18,0
4,4,6,9,29,1
2,4,8,6,23,1
0,3,5,4,20,0
5,5,10,9,38,1
3,3,7,7,27,1
1,2,5,5,21,0
4,4,8,8,30,1
2,1,4,3,22,0
1,3,6,6,26,0
5,2,9,10,35,1
4,5,9,8,29,1
2,1,4,5,24,0
0,2,6,7,21,0
3,5,8,8,28,1
1,3,6,4,23,0
4,4,9,7,33,1
5,0,10,9,36,1
1,2,5,6,19,0
2,4,7,6,25,1
0,1,3,3,20,0
3,3,7,5,29,1
1,5,8,9,30,1
4,2,6,7,32,1
3,0,7,6,27,0
5,4,10,10,41,1
2,3,5,5,22,0
1,4,8,8,21,1
0,4,6,4,19,0
3,2,7,7,26,0
2,0,5,5,23,0
4,3,8,9,28,1
1,2,4,4,20,0
5,5,10,8,34,1
0,3,5,6,18,0
3,4,9,9,26,1
4,2,7,8,31,1
2,1,6,4,24,0
1,1,3,5,22,0
5,0,8,10,39,1
3,5,7,6,27,1
4,3,9,10,30,1
2,2,5,3,21,0
0,1,4,5,19,0
