id,name,price,date
4,"""Ботинки/ Кеды Converse. USA.Оригинал.Новые.""",10999,16.09
6,"""Сапоги Alberto Guardiani (разм 41,1/2)""",10000,25.08
5,"""Кроссовки/ Кеды Hugo Bоss. Gеrmаny. Оpигинал. Hовые.""",9999,16.09
7,"""Кроссовки Diеsеl. Itаly. Оpигинал. Hовые. UNISEX.""",9999,23.08
8,"""Сандалии Dsquared2. Italy. Оriginal. Новые.""",9999,23.08
9,"""Сандалии Replay. Italy. Оригинал. Новые.""",9999,23.08
29,"""Кроссовки Ecco biom""",6000,29.07
3,"""Продам кожаные итальянские туфли""",5500,19.09
21,"""Кроссовки onemix pro""",4000,21.04
24,"""Кроссовки Nike""",3700,30.11
13,"""Мужские кроссовки Nike Air Max 90""",3650,7.07
15,"""Мужские кроссовки New Balance 650 Cordura""",3600,31.05
30,"""Кроссовки Найк оригинал""",3300,14.05
12,"""Мужские кроссовки Аdidas Niteball""",3200,7.07
18,"""Лоферы""",3200,25.04
40,"""Кроссовки Adidas (все размеры)""",3200,2.04
41,"""Кроссовки New balance (все размеры)""",3100,2.04
42,"""Кроссовки Puma (все размеры)""",3100,2.04
10,"""Мужские ботинки 45 размера""",3000,7.08
19,"""Кроссовки One Mix""",3000,21.04
20,"""Кроссовки one mix""",3000,21.04
35,"""Кроссовки""",2990,27.01
39,"""Кроссовки Nike Air (все размеры)""",2800,2.04
17,"""Adidas Ozweego Celox""",2700,18.05
26,"""Кроссовки фирмы Nike замшевые""",2600,16.11
22,"""Кроссовки onemix""",2500,21.04
25,"""Кроссовки фирмы  Nike""",2500,16.11
28,"""Лоферы туфли мужские ""Z'S""""",2500,17.09
31,"""Мужские кроссовки""",2500,1.05
16,"""Мужские кроссовки Nike Air Jordan 3""",2300,31.05
45,"""Военные берцы. 45 размер. Новые""",2300,4.01
37,"""Кеды Vans (все размеры)""",2200,2.04
32,"""Коньки для катания на льду""",2000,19.03
38,"""Кроссовки Sharks/Акулы (все размеры)""",2000,2.04
56,"""Новые Кожаные зимние кроссовки""",2000,19.01
46,"""Ботинки""",1800,13.10
50,"""БОТИНКИ ""ЛИДЕР"" ПОДОШВА ПУ-ТПУ""",1600,25.05
57,"""Мужские кроссовки""",1600,9.01
23,"""Продам красовки""",1550,2.04
14,"""Туфли мужские новые натуральная замша, 41 размер""",1500,2.07
55,"""Бертцы зима - весна - лето - осень.""",1500,30.01
51,"""ПОЛУБОТИНКИ «ЛИДЕР» СТАЛЬНАЯ СТЕЛЬКА""",1450,25.05
36,"""Кроссовки 40 р-р""",1400,10.06
49,"""САНДАЛИ РАБОЧИЕ ""РИТМ""""",1400,25.05
52,"""БОТИНКИ РАБОЧИЕ ""ЭТАЛОН"" СПЕЦОБУВЬ""",1400,25.05
47,"""БОТИНКИ ""ФОРВАРД-ЭКО"" СПЕЦОБУВЬ""",1300,25.05
48,"""ПОЛУБОТИНКИ рабочие ""ОСКАР"" СПЕЦОБУВЬ""",1300,25.05
2,"""Сапоги рабочие.""",1200,20.09
44,"""Сапоги мужские""",1100,29.03
1,"""Мужская кожаная летняя обувь.""",1000,25.09
27,"""Туфли кожанные новые.""",800,15.10
11,"""Туфли кожаные""",799,27.07
54,"""Туфли Мужские кожаные 42й размер 2пары в отличном""",600,21.04
33,"""Домашние мужские тапочки, новые""",450,22.02
34,"""Домашние мужские тапочки, новые, размер 45-46.""",350,21.02
53,"""Мужские Чёрные туфли 43-го размера""",350,21.04
43,"""Туфли  мужские""",300,29.03
